?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/CHEBI_77963>	"A food preservative that acts by chelating with metal cations (particularly those of copper, iron and nickel) that catalyse the oxidation of fats in food."	"Wikipedia:Sequestrant"
<http://purl.obolibrary.org/obo/UBERON_0006238>	"The embryonic precursor of the brain."	"EHDAA:830 BTO:0004726 BAMS:Enc FMA:312967 RETIRED_EHDAA2:0000591 EMAPA:16089 EHDAA:300 ZFA:0000146 TAO:0000146 EFO:0003431"
<http://purl.obolibrary.org/obo/NCBITaxon_716545>		"GC_ID:1"
<http://purl.obolibrary.org/obo/CHEBI_35693>		
<http://purl.obolibrary.org/obo/CL_0000826>	"A progenitor cell of the B cell lineage, with some lineage specific activity such as early stages of recombination of B cell receptor genes, but not yet fully committed to the B cell lineage until the expression of PAX5 occurs."	"BTO:0003104"
<http://purl.obolibrary.org/obo/HP_0001907>	"The formation of a blood clot inside a blood vessel that subsequently travels through the blood stream from the site where it formed to another location in the body, generally leading to vascular occlusion at the distant site."	"SNOMEDCT_US:13713005 UMLS:C0040038 SNOMEDCT_US:371039008 UMLS:C0085307"
<http://purl.obolibrary.org/obo/MAXO_0001041>	"The surgical removal (cutting out) of part or all of clitoris."	
<http://purl.obolibrary.org/obo/CL_0000467>	"A peptide hormone secreting cell that produces adrenocorticotropin, or corticotropin."	
<http://purl.obolibrary.org/obo/PR_000007858>	"A protein that is a translation product of the human GATA2 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/UBERON_0010913>	"Skeletal element that forms around the notochord and is part of the vertebral column."	"VSAO:0000184 VHOG:0001143"
<http://purl.obolibrary.org/obo/MAXO_0000677>	"An assessment by a physician who diagnoses and treats patients experiencing problems with acute or chronic pain, or pain related to cancer, in both hospital and outpatient settings and coordinates care needs with other specialists."	
<http://purl.obolibrary.org/obo/MAXO_0000608>	"A quantitative measurement of the amount of phosphate present in a sample of serum."	"NCIT:C61028"
<http://purl.obolibrary.org/obo/GO_0007049>	"The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."	"Wikipedia:Cell_cycle"
<http://purl.obolibrary.org/obo/CHEBI_35634>	"An EC 1.17.3.* (oxidoreductase acting on CH or CH2 with oxygen as acceptor) inhibitor that interferes with the action of xanthine oxidase (EC 1.17.3.2)."	
<http://purl.obolibrary.org/obo/CHEBI_33252>	"A nucleus is the positively charged central portion of an atom, excluding the orbital electrons."	
<http://purl.obolibrary.org/obo/MAXO_0000996>	"Addition of a softening or soothing agent to the skin."	
<http://purl.obolibrary.org/obo/GO_0061045>	"Any process that decreases the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury."	
<http://purl.obolibrary.org/obo/GO_0022857>	"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."	"Reactome:R-HSA-5671707 Reactome:R-HSA-5638209 Reactome:R-HSA-6784436 Reactome:R-HSA-429036 Reactome:R-HSA-1236947 Reactome:R-HSA-6784434 Reactome:R-HSA-434650"
<http://purl.obolibrary.org/obo/GO_0032502>	"A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."	
<http://purl.obolibrary.org/obo/PR_000001023>	"A neural cell adhesion molecule that is involved in neuronal development, synaptic plasticity, and regeneration."	"PIRSF:PIRSF501037"
<http://purl.obolibrary.org/obo/CHEBI_26873>	"Any isoprenoid that is a natural product or related compound formally derived from isoprene units. Terpenoids may contain oxygen in various functional groups. This class is subdivided according to the number of carbon atoms in the parent terpene. The skeleton of terpenoids may differ from strict additivity of isoprene units by the loss or shift of a fragment, generally a methyl group."	"Wikipedia:Terpenoid"
<http://purl.obolibrary.org/obo/UBERON_0005398>	"A sex gland that is part of a female reproductive system."	"MA:0000383 BTO:0000254"
<http://purl.obolibrary.org/obo/CHEBI_35457>	"An EC 3.4.15.* (peptidyl-dipeptidase) inhibitor that interferes with the action of peptidyl-dipeptidase A (EC 3.4.15.1)."	"Wikipedia:ACE_inhibitor"
<http://purl.obolibrary.org/obo/GO_0006414>	"The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis."	
<http://purl.obolibrary.org/obo/MAXO_0000025>	"Care for patients with a progressive life-limiting disease with a prognosis of months or less."	"NCIT:C67359"
<http://purl.obolibrary.org/obo/MAXO_0000644>	"Treatment with an agent that modifies a particular molecular pathway."	
<http://purl.obolibrary.org/obo/PR_000001307>	"A protein that is a translation product of the human CD44 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/NCBITaxon_314145>		"PMID:12878460 PMID:11214319 PMID:11214318 GC_ID:1"
<http://purl.obolibrary.org/obo/MAXO_0000650>	"Treatment with a cardiovascular drug that prevents atherogenesis, the accumulation of lipid-containing plaques on the innermost layers of the arteries."	"CHEBI:50855"
<http://purl.obolibrary.org/obo/UBERON_0001264>	"An endoderm derived structure that produces precursors of digestive enzymes and blood glucose regulating hormones[GO]."	"MA:0000120 MAT:0000075 SCTID:181277001 FMA:7198 EV:0100092 TAO:0000140 EHDAA2:0001367 galen:Pancreas MIAA:0000075 Wikipedia:Pancreas AAO:0010112 XAO:0000136 NCIT:C12393 GAID:334 EFO:0000855 CALOHA:TS-0736 EMAPA:17503 ZFA:0000140 MESH:D010179 EHDAA:6893 BTO:0000988 VHOG:0000050"
<http://purl.obolibrary.org/obo/CHEBI_66993>	"Any compound used to suppress premature labour and immature birth by suppressing uterine contractions."	"Wikipedia:Tocolytic"
<http://purl.obolibrary.org/obo/GO_0003341>	"The directed, self-propelled movement of a cilium."	
<http://purl.obolibrary.org/obo/UBERON_0003504>	"A blood vessel that is part of a respiratory system [Automatically generated definition]."	"EMAPA:35995 MA:0001799 EMAPA:35731"
<http://purl.obolibrary.org/obo/CHEBI_139120>	"Any carotenoid derivative with an beta-end group"	
<http://purl.obolibrary.org/obo/GO_0009792>	"The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell."	
<http://purl.obolibrary.org/obo/MAXO_0010059>	"A medical requirement or recommendation of avoiding the consumption of pumpkin seed (shell off)."	
<http://purl.obolibrary.org/obo/MAXO_0001018>	"Nutrition intake is the process of taking in of nutrients, especially by eating or drinking, considered in relation to the body’s dietary needs."	
<http://purl.obolibrary.org/obo/CHEBI_24407>	"Any disaccharide in which the two monosaccharide components are connected by a glycosidic linkage between their anomeric centres."	
<http://purl.obolibrary.org/obo/CHEBI_23357>	"An organic molecule or ion (usually a metal ion) that is required by an enzyme for its activity. It may be attached either loosely (coenzyme) or tightly (prosthetic group)."	"Wikipedia:Cofactor_(biochemistry)"
<http://purl.obolibrary.org/obo/MAXO_0010073>	"A medical requirement or recommendation of avoiding the consumption of cauliflower food product."	
<http://purl.obolibrary.org/obo/NCBITaxon_436486>		"GC_ID:1"
<http://purl.obolibrary.org/obo/GO_0071707>	"The process in which immunoglobulin heavy chain V, D, and J gene segments are recombined within a single locus utilizing the conserved heptamer and nonomer recombination signal sequences (RSS)."	
<http://purl.obolibrary.org/obo/FOODON_00002180>	"A food product deriving from one or more pumpkins."@en	
<http://purl.obolibrary.org/obo/MAXO_0000280>	"Treatment with an agent or medication that regulates hormones released by the pituitary."	
<http://purl.obolibrary.org/obo/UBERON_0001274>	"Endochondral bone that is paired, forming the posterior part of the pelvis, articulating with the pubis and ilium."	"NCIT:C32884 FMA:16592 SCTID:182025004 galen:Ischium Wikipedia:Ischium EMAPA:18727 GAID:208 MESH:D007512 AAO:0000860 VSAO:0005006 MA:0001337"
<http://purl.obolibrary.org/obo/FOODON_00002819>	"A liver food product is a food product that derives from one or more liver organs."@en	
<http://purl.obolibrary.org/obo/GO_0098771>	"Any process involved in the maintenance of an internal steady state of inorganic ions within an organism or cell."	
<http://purl.obolibrary.org/obo/MAXO_0000164>	"Pharmaceutical Anti-gout Preparations such as colchicine, allopurinol, probenecid, and sulfinpyrazone contain natural or synthetic agents against gout, a condition characterized by increased uric acid accumulation. Anti-gout agents may reduce inflammation, stimulate elimination of uric acid, or increase production of uric acid. (NCI04)"	"CHEBI:35841 CHEBI:35845 NCIT:C29733"
<http://purl.obolibrary.org/obo/MAXO_0000763>	"Intake of nutrients intravenously as well as enterically."	
<http://purl.obolibrary.org/obo/CHEBI_26440>		"KEGG:C03169"
<http://purl.obolibrary.org/obo/MAXO_0001153>	"A systemic evaluation of the uterus using visual inspection, palpation, and percussion. The purpose is to determine the presence or absence of physical signs of disease or abnormality for an individual's health assessment."	
<http://purl.obolibrary.org/obo/PATO_0015008>	"A quality inhering in a bearer by virtue of the extent to which the bearer is capable of being stretched or swollen."	
<http://purl.obolibrary.org/obo/CHEBI_18282>	"That part of DNA or RNA that may be involved in pairing."	"Wikipedia:Nucleobase KEGG:C00701"
<http://purl.obolibrary.org/obo/NCBITaxon_314147>		"PMID:15522813 PMID:12082125 PMID:11214319 GC_ID:1"
<http://purl.obolibrary.org/obo/GO_0055074>	"Any process involved in the maintenance of an internal steady state of calcium ions within an organism or cell."	
<http://purl.obolibrary.org/obo/MAXO_0000271>	"Treatment with medications that coat the ulcerated surfaces of gastrointestinal lining and are used mainly for peptic ulcer disease."	
<http://purl.obolibrary.org/obo/GO_0010646>	"Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."	
<http://purl.obolibrary.org/obo/UBERON_0000026>	"Major subdivision of an organism that protrudes from the body[DOS, CARO]."	"EFO:0000799 BTO:0001492 VSAO:0000075 EHDAA2:0003193 NCIT:C61460 XAO:0000218 MESH:D005121 Wikipedia:Appendage EV:0100155 HAO:0000144 AEO:0000193 MIAA:0000023 BILA:0000018 MAT:0000023 CARO:0010003"
<http://purl.obolibrary.org/obo/HP_0001844>	"This term applies for all abnormalities of the big toe, also called hallux."	"UMLS:C4021773"
<http://purl.obolibrary.org/obo/CHEBI_50739>	"A substance that possess antiestrogenic actions but can also produce estrogenic effects as well. It acts as complete or partial agonist or as antagonist. It can be either steroidal or nonsteroidal in structure."	
<http://purl.obolibrary.org/obo/GO_0042101>	"A protein complex that contains a disulfide-linked heterodimer of T cell receptor (TCR) chains, which are members of the immunoglobulin superfamily, and mediates antigen recognition, ultimately resulting in T cell activation. The TCR heterodimer is associated with the CD3 complex, which consists of the nonpolymorphic polypeptides gamma, delta, epsilon, zeta, and, in some cases, eta (an RNA splice variant of zeta) or Fc epsilon chains."	"Wikipedia:T_cell_receptor"
<http://purl.obolibrary.org/obo/UBERON_0000463>	"Material anatomical entity in a gaseous, liquid, semisolid or solid state; produced by anatomical structures or derived from inhaled and ingested substances that have been modified by anatomical structures as they pass through the body."	"NCIT:C13236 HAO:0000004 XAO:0004001 AEO:0000004 TAO:0001487 BILA:0000004 ZFA:0001487 AAO:0010839 CALOHA:TS-2101 VHOG:0001726 TGMA:0001824 SPD:0000008 MA:0002450 CARO:0000004 galen:BodySubstance FMA:9669 EHDAA2:0003004 EMAPA:35178"
<http://purl.obolibrary.org/obo/UBERON_0000003>	"Orifice of the olfactory system. The naris is the route by which odorants enter the olfactory system[MAH]."	"MA:0000282 galen:Naris SCTID:272650008 EHDAA2:0001225 EHDAA:9083 VHOG:0000663 EMAPA:17847 AAO:0000311"
<http://purl.obolibrary.org/obo/MAXO_0000969>	"A noninvasive imaging technique that provides high-resolution, cross-sectional images of the retina, retinal nerve fiber layer and the optic nerve head."	
<http://purl.obolibrary.org/obo/CHEBI_37257>	"A branched-chain saturated fatty acid anion that is the conjugate base of phytanic acid, arising from deprotonation of the carboxylic acid group."	"KEGG:C01607"
<http://purl.obolibrary.org/obo/UBERON_0010886>	"A pre-cartilage condensation that has the potential to develop into a hindlimb bone."	"EMAPA:32638"
<http://purl.obolibrary.org/obo/MAXO_0000073>		
<http://purl.obolibrary.org/obo/CHEBI_22744>		
<http://purl.obolibrary.org/obo/CHEBI_16733>		"KEGG:C00405"
<http://purl.obolibrary.org/obo/CL_0000147>	"A pigment cell is a cell that contains pigment granules."	"VHOG:0001678"
<http://purl.obolibrary.org/obo/UBERON_0001299>	"The conic expansion of the corpus spongiosum that forms the head of the penis."	"GAID:0000012 EMAPA:18988 SCTID:263378009 EV:0100108 Wikipedia:Glans_penis FMA:18247 BTO:0003118 NCIT:C12324 MA:0002726 VHOG:0001475"
<http://purl.obolibrary.org/obo/HP_0000951>	"An abnormality of the skin."	"SNOMEDCT_US:95320005 UMLS:C0037268 UMLS:C0037274 SNOMEDCT_US:199879009"
<http://purl.obolibrary.org/obo/NCBITaxon_314146>		"PMID:15522813 PMID:12878460 PMID:12082125 PMID:11214319 GC_ID:1"
<http://purl.obolibrary.org/obo/CHEBI_50790>	"An EC 1.14.14.* (oxidoreductase acting on paired donors, incorporating of 1 atom of oxygen, with reduced flavin or flavoprotein as one donor) inhibitor which interferes with the action of aromatase (EC 1.14.14.14) and so reduces production of estrogenic steroid hormones."	"Wikipedia:Aromatase_inhibitor"
<http://purl.obolibrary.org/obo/UBERON_0004626>	"The first thoracic vertebra counting from the top down. Note that members of this class are not necessarily homologous[ncit,modified]."	"EMAPA:19542 MA:0001438 FMA:9165 SCTID:181828003 NCIT:C33720"
<http://purl.obolibrary.org/obo/GO_0002456>	"Any process involved in the carrying out of an immune response by a T cell."	
<http://purl.obolibrary.org/obo/PR_000016043>	"A protein that is a translation product of the human TAL1 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/MAXO_0001074>	"The surgical removal (cutting out) of part or all of lung."	
<http://purl.obolibrary.org/obo/GO_0006022>	"The chemical reactions and pathways involving aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages."	
<http://purl.obolibrary.org/obo/UBERON_0004061>	"The layer of glia and differentiating neurons that forms as a second layer around the germinal neuroepithium; as this develops it comes to lie between the ventricular and marginal layers and includes the basal and alar plates. Develops into neurons and glia forming a gray matter layer."	"neuronames:1367 EMAPA:17148 EMAPA:35360"
<http://purl.obolibrary.org/obo/UBERON_0001295>	"The glandular mucous membrane lining of the uterine cavity that is hormonally responsive during the estrous/menstrual cycle and during pregnancy."	"MAT:0000319 EFO:0000980 SCTID:278867007 GAID:377 EV:0100115 MESH:D004717 VHOG:0001285 EMAPA:29917 NCIT:C12313 Wikipedia:Endometrium CALOHA:TS-0276 BTO:0001422 MA:0000390 FMA:17742 MIAA:0000319"
<http://purl.obolibrary.org/obo/UBERON_0004340>	"A membranous sac that develops from the posterior part of the alimentary canal in the embryos of mammals, birds, and reptiles, and it is important in the formation of the umbilical cord and placenta in mammals[VHOG]."	"NCIT:C34101 SCTID:308825007 RETIRED_EHDAA2:0000114 VHOG:0000738 EMAPA:16107 MESH:D000482 Wikipedia:Allantois BTO:0000474 EHDAA2:0001504 EMAPA_RETIRED:16084"
<http://purl.obolibrary.org/obo/UBERON_0002028>	"The most posterior of the three principal regions of the brain. In mammals and birds the hindbrain is divided into a rostral metencephalon and a caudal myelencephalon. In zebrafish, with the exception of the cerebellum, the ventral remainder of the metencephalon can be separated only arbitrarily from the more caudal myelencephalic portion of the medulla oblongata (From: Neuroanatomy of the Zebrafish Brain)[ZFA]. Organ component of neuraxis that has as its parts the pons, cerebellum and medulla oblongata[FMA]."	"EHDAA:3514 EFO:0000923 VHOG:0000070 BAMS:HB CALOHA:TS-0457 MESH:D012249 Wikipedia:Rhombencephalon FMA:67687 MBA:1065 NCIT:C40336 EMAPA:16916 AAO:0010150 DMBA:16808 MA:0000195 MIAA:0000107 DHBA:10653 XAO:0000015 EHDAA:6487 EHDAA2:0000746 BTO:0000672 BIRNLEX:942 SCTID:303456008 TAO:0000029 MAT:0000107 ZFA:0000029"
<http://purl.obolibrary.org/obo/UBERON_0000409>	"A gland in which the principal secretory cells are serous secreting cells."	"BTO:0001837 Wikipedia:Serous_gland FMA:62889"
<http://purl.obolibrary.org/obo/GO_0097186>	"The process whose specific outcome is the formation of tooth enamel, occurring in two stages: secretory stage and maturation stage."	
<http://purl.obolibrary.org/obo/UBERON_0003469>	"An artery that is part of a respiratory system [Automatically generated definition]."	"MA:0001804"
<http://purl.obolibrary.org/obo/PR_000007857>	"A protein that is a translation product of the human GATA1 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/MAXO_0001603>	"A test to detect streptococcus, either Group A or Group B, in a patient."	
<http://purl.obolibrary.org/obo/SO_0000234>	"Messenger RNA is the intermediate molecule between DNA and protein. It includes UTR and coding sequences. It does not contain introns."	"http://www.gencodegenes.org/gencode_biotypes.html http://en.wikipedia.org/wiki/MRNA"
<http://purl.obolibrary.org/obo/UBERON_0002296>	"The mesentery that originates from the dorsal side of the peritoneal cavity[ZFA]."	"EHDAA:3957 EHDAA2:0004560 FMA:79795 EHDAA:3033 EHDAA:3921 ZFA:0005130 Wikipedia:Mesentery#Development EHDAA:3971 TAO:0005130 EHDAA:3934 SCTID:308823000 EHDAA:3019"
<http://purl.obolibrary.org/obo/CHEBI_35526>	"A drug which lowers the blood glucose level."	
<http://purl.obolibrary.org/obo/MAXO_0001362>	"A determination of the structure of neutrophil."	
<http://purl.obolibrary.org/obo/GO_0005615>	"That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."	"NIF_Subcellular:sao1425028079"
<http://purl.obolibrary.org/obo/GO_0008217>	"Any process that modulates the force with which blood travels through the circulatory system. The process is controlled by a balance of processes that increase pressure and decrease pressure."	"Wikipedia:Blood_pressure#Regulation"
<http://purl.obolibrary.org/obo/MAXO_0001458>	"Procedure to evaluate the structure and/or function of the reproductive gland secretion."	
<http://purl.obolibrary.org/obo/CHEBI_38182>	"A hydroxypyridine carrying a single hydroxy substituent."	
<http://purl.obolibrary.org/obo/UBERON_0005156>	"Any anatomical structure that is part of the reproductive system."	
<http://purl.obolibrary.org/obo/SO_0000316>	"A contiguous sequence which begins with, and includes, a start codon and ends with, and includes, a stop codon."	
<http://purl.obolibrary.org/obo/UBERON_0007592>	"Simple columnar epithelium in which the luminal side of the cells bears cilia. Examples: epithelium of trachea, epithelium of uterine tube.[FMA]."	"FMA:64798"
<http://purl.obolibrary.org/obo/UBERON_0004619>	"The third lumbar vertebra counting from the top down. Note that members of this class are not necessarily homologous[ncit,modified]."	"EMAPA:19571 NCIT:C32901 SCTID:181843001 MA:0001430 FMA:13074"
<http://purl.obolibrary.org/obo/UBERON_0012467>	"An anatomical space with no opening to another space or to the exterior."	"AEO:0000222"
<http://purl.obolibrary.org/obo/PATO_0001397>	"A cellular quality that arises by virtue of whether the bearer's disposition to differentiate into one or more mature cell types."	
<http://purl.obolibrary.org/obo/UBERON_0003112>	"Anatomical cluster that is located in the anterior region of the cranium and provides structural support for the olfactory organ."	"NCIT:C98765 TAO:0000351 ZFA:0000351 XAO:0003172 AAO:0010206 EFO:0003525"
<http://purl.obolibrary.org/obo/MAXO_0001250>	"The determination of the amount of vitamin E present in the sample."	
<http://purl.obolibrary.org/obo/GO_0001820>	"The regulated release of serotonin by a cell. Serotonin (5-hydroxytryptamine, or 5-HT) is a monoamine synthesised in serotonergic neurons in the central nervous system, enterochromaffin cells in the gastrointestinal tract and some immune system cells."	
<http://purl.obolibrary.org/obo/MAXO_0000373>	"Removal and examination of tissue, cells, or fluids from larynx for the purpose of detecting or characterizing disease."	
<http://purl.obolibrary.org/obo/GO_0016477>	"The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."	"Wikipedia:Cell_migration"
<http://purl.obolibrary.org/obo/SO_0001527>	"A region of peptide sequence used to target the polypeptide molecule to a specific organelle."	
<http://purl.obolibrary.org/obo/MAXO_0000693>	"An assessment by an internist who treats diseases of the lungs and airways. The specialist diagnoses and treats cancer, pneumonia, pleurisy, asthma, occupational and environmental diseases, bronchitis, sleep disorders, emphysema and other complex disorders of the lungs."	
<http://purl.obolibrary.org/obo/UBERON_0014478>	"Subdivision of skeletal system that consists of all ribs and rib joints in an organism. In many vertebrates this consists of the combination of the rib cage and all rib joints, but some vertebrates have ribs outside the thoracic rib cage."	"TAO:0002100 FMA:265719"
<http://purl.obolibrary.org/obo/UBERON_0004347>	"An outgrowth on the lateral trunk of the embryo that develops into a limb. The limb bud is divided into ectoderm and mesenchyme[cjm, modified from MP]."	"MESH:D018878 EMAPA:35944 Wikipedia:Limb_bud FMA:296780 BTO:0001640 XAO:0003161 GAID:1307 AAO:0010375 NCIT:C34203"
<http://purl.obolibrary.org/obo/MAXO_0000436>	"Treatment with  a drug that inhibits the action of N-methyl-D-aspartate (NMDA) receptors."	"CHEBI:60643"
<http://purl.obolibrary.org/obo/MAXO_0000666>	"An assessment by an allergist-immunologist who diagnoses and manages disorders involving immune system conditions such as asthma, anaphylaxis, rhinitis and eczema as well as adverse reactions to drugs, foods and insect stings. An allergist-immunologist also manages immune deficiency diseases and problems related to autoimmune disease, organ transplantation or malignancies of the immune system."	
<http://purl.obolibrary.org/obo/GO_0009987>	"Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."	
<http://purl.obolibrary.org/obo/UBERON_0004140>	"A specific region of the lateral mesoderm that will form the primary beating heart tube. In mammals the primary heart field gives rise to the left ventricle."	"XAO:0004185"
<http://purl.obolibrary.org/obo/PO_0020148>	"A shoot system meristem (PO:0006079) formed at the apex of the shoot axis (PO:0025029), including those originating from an axillary bud meristem (PO:0000232)."	"PO_GIT:472"
<http://purl.obolibrary.org/obo/CHEBI_38181>	"A monocarboxylic acid anion resulting from the removal of a proton from the carboxy group of a pyridinemonocarboxylic acid. A 'closed class'."	
<http://purl.obolibrary.org/obo/CHEBI_131927>	"A class of carbonyl compound encompassing dicarboxylic acids and any derivatives obtained by substitution of either one or both of the carboxy hydrogens."	
<http://purl.obolibrary.org/obo/MAXO_0001068>	"The surgical removal (cutting out) of part or all of testis."	
<http://purl.obolibrary.org/obo/CL_0000586>	"The reproductive cell in multicellular organisms."	"WBbt:0006796 VHOG:0001534 NCIT:C12597 BTO:0000535"
<http://purl.obolibrary.org/obo/CL_0000911>	"A differentiated T cell with ability to traffic to peripheral tissues and is capable of mounting a specific immune response."	
<http://purl.obolibrary.org/obo/GO_0012505>	"A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."	"Wikipedia:Endomembrane_system"
<http://purl.obolibrary.org/obo/MAXO_0001178>	"Treatment with a drug or agent that inhibits xanthine oxidase."	
<http://purl.obolibrary.org/obo/FOODON_03401328>	"Fibre supplements (or fiber supplements) are considered to be a form of a subgroup of functional dietary fibre, and in the United States are defined by the Institute of Medicine (IOM). According to the IOM, functional fibre \"consists of isolated, non-digestible carbohydrates that have beneficial physiological effects in humans\".\nFibre supplements are widely available, and can be found in forms such as powders, tablets and capsules. Consumption of fibre supplements may be for: improving dietary intake, lowering blood cholesterol, alleviating irritable bowel syndrome, reducing the risk of colon cancer, and increasing feelings of satiety. [http://en.wikipedia.org/wiki/Fibre_supplements]"@en	"http://www.langual.org/langual_thesaurus.asp?termid=A1328"
<http://purl.obolibrary.org/obo/UBERON_0003103>	"Anatomical structure that has as its parts two or more multi-tissue structures of at least two different types and which through specific morphogenetic processes forms a single distinct structural unit demarcated by bona fide boundaries from other distinct anatomical structures of different types."	"CARO:0000024 XAO:0003041 AEO:0000024 ZFA:0000496 VHOG:0001723 TAO:0000496 TADS:0000598 EHDAA2:0003024 AAO:0010015 BILA:0000024 TGMA:0001837 HAO:0000024"
<http://purl.obolibrary.org/obo/CHEBI_35186>	"A hydrocarbon of biological origin having carbon skeleton formally derived from isoprene [CH2=C(CH3)CH=CH2]."	
<http://purl.obolibrary.org/obo/MAXO_0000291>	"Use of a compound which increases or activates the biosynthesis or actions of androgens."	
<http://purl.obolibrary.org/obo/UBERON_0004998>	"A mucosa that is part of a pylorus [Automatically generated definition]."	"EMAPA:27199 FMA:17461 BTO:0004110"
<http://purl.obolibrary.org/obo/UBERON_0034711>	"The layer of the developing cerebral cortex that is formed from the first cohort of neurons to migrate out of the cortical ventricular zone; split by the second wave into marginal zone and subplate."	"EMAPA:35261"
<http://purl.obolibrary.org/obo/CHEBI_3992>		"KEGG:C02019"
<http://purl.obolibrary.org/obo/UBERON_0000997>	"External genital organs of the female mammal[WP]."	"EV:0100118 VHOG:0001458 EFO:0000978 GAID:383 Wikipedia:Vulva EMAPA:36631 SCTID:265796001 MAT:0000169 CALOHA:TS-1168 galen:Vulva FMA:20462 MIAA:0000169 BTO:0003101 MA:0000395 MESH:D014844 NCIT:C12408"
<http://purl.obolibrary.org/obo/UBERON_0003412>	"Mesenchyme that is part of a pelvic appendage bud."	"EMAPA:16781 TAO:0001386 ZFA:0001386 EHDAA2:0001035"
<http://purl.obolibrary.org/obo/CHEBI_51373>	"A drug that binds to and activates gamma-aminobutyric acid receptors."	
<http://purl.obolibrary.org/obo/GO_0043207>	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."	
<http://purl.obolibrary.org/obo/MAXO_0000587>	"A time-triggered, pressure-limited, inverse-ratio mode of ventilation that provides continuous distending airway pressure with intermittent release phases"	
<http://purl.obolibrary.org/obo/CL_0000050>	"A progenitor cell committed to the megakaryocyte and erythroid lineages."	
<http://purl.obolibrary.org/obo/MAXO_0000233>	"Treatment of cancer that utilizes antimetabolite substances to disrupt DNA, RNA, or protein synthesis."	"NCIT:C15183"
<http://purl.obolibrary.org/obo/UBERON_0001115>	"The left lobe is smaller and more flattened than the right. It is situated in the epigastric and left hypochondriac regions. Its upper surface is slightly convex and is moulded on to the diaphragm; its under surface presents the gastric impression and omental tuberosity. [WP,unvetted]."	"FMA:13363 VHOG:0001423 SCTID:362183003 ZFA:0005172 NCIT:C32965 Wikipedia:Left_lobe_of_liver EHDAA2:0001000 EMAPA:18307 TAO:0005172 EHDAA:3995 MA:0000361"
<http://purl.obolibrary.org/obo/UBERON_0005423>		"MIAA:0000019 CALOHA:TS-2122 FMA:292313 EHDAA2:0003125 AEO:0000125"
<http://purl.obolibrary.org/obo/UBERON_0006003>	"Anatomical structure embedded in or located in the integument that is part of the integumental system. Examples: hair, follicles, skin glands, claws, nails, feathers."	"Wikipedia:Skin_appendage"
<http://purl.obolibrary.org/obo/GO_0018958>	"The chemical reactions and pathways involving a phenol, any compound containing one or more hydroxyl groups directly attached to an aromatic carbon ring."	"UM-BBD_pathwayID:phe"
<http://purl.obolibrary.org/obo/MAXO_0001077>	"The surgical removal (cutting out) of part or all of spleen."	
<http://purl.obolibrary.org/obo/UBERON_0006234>	"A femur endochondral element that is composed primarily of a pre-cartilage condensation."	"EMAPA:17502 VHOG:0000951 EHDAA2:0000508"
<http://purl.obolibrary.org/obo/FOODON_00002501>	"A food product consisting of food material derived from ingredients sourced from multiple organisms."@en	
<http://purl.obolibrary.org/obo/UBERON_0003922>	"The embryonic pancreas develops from two separate anlagen in the foregut epithelium, one dorsal and two ventral pancreatic buds[PMID]."	"NCIT:C34242 TAO:0001390 ZFA:0001390 SCTID:360398004 EFO:0003470 Wikipedia:Pancreatic_bud EMAPA:35645"
<http://purl.obolibrary.org/obo/GO_0050878>	"Any process that modulates the levels of body fluids."	
<http://purl.obolibrary.org/obo/CL_0017500>	"Cytoplasm that exhibits a characteristic staining and color, pale-pink, with Wright-Giemsa stain."	
